"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","home_line","over_under","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2024_01_ARI_BUF","ARI","BUF","REG",28,34,272,352,624,10,10,3,4,2,2,5,4,6.5,46,0.3,0.2,0.5,0.4,0.2,0.4,2024
"2024_01_BAL_KC","BAL","KC","REG",20,27,452,353,805,11,10,2,4,3,2,6,4,3,46,0.181818181818182,0.272727272727273,0.545454545454545,0.4,0.2,0.4,2024
"2024_01_CAR_NO","CAR","NO","REG",10,47,193,379,572,14,11,0,5,3,4,11,2,3.5,41.5,0,0.214285714285714,0.785714285714286,0.454545454545455,0.363636363636364,0.181818181818182,2024
"2024_01_DAL_CLE","DAL","CLE","REG",33,17,265,230,495,15,14,2,1,3,1,10,12,2.5,42,0.133333333333333,0.2,0.666666666666667,0.0714285714285714,0.0714285714285714,0.857142857142857,2024
"2024_01_DEN_SEA","DEN","SEA","REG",20,26,231,304,535,16,15,2,4,3,2,11,9,6.5,42,0.125,0.1875,0.6875,0.266666666666667,0.133333333333333,0.6,2024
"2024_01_GB_PHI","GB","PHI","REG",29,34,414,410,824,11,11,3,4,3,2,5,5,2,49.5,0.272727272727273,0.272727272727273,0.454545454545455,0.363636363636364,0.181818181818182,0.454545454545455,2024
"2024_01_HOU_IND","HOU","IND","REG",29,27,417,303,720,11,9,4,4,3,0,4,5,-3,49,0.363636363636364,0.272727272727273,0.363636363636364,0.444444444444444,0,0.555555555555556,2024
"2024_01_JAX_MIA","JAX","MIA","REG",17,20,267,400,667,11,12,2,2,1,3,8,7,3.5,49.5,0.181818181818182,0.0909090909090909,0.727272727272727,0.166666666666667,0.25,0.583333333333333,2024
"2024_01_LA_DET","LAR","DET","REG",12,26,387,363,750,10,12,0,4,2,3,8,5,5,54,0,0.2,0.8,0.333333333333333,0.25,0.416666666666667,2024
"2024_01_LV_LAC","LV","LAC","REG",10,22,296,316,612,14,13,0,2,1,3,13,8,3,41,0,0.0714285714285714,0.928571428571429,0.153846153846154,0.230769230769231,0.615384615384615,2024
"2024_01_MIN_NYG","MIN","NYG","REG",28,6,312,240,552,11,11,3,0,0,2,8,9,-1,42.5,0.272727272727273,0,0.727272727272727,0,0.181818181818182,0.818181818181818,2024
"2024_01_NE_CIN","NE","CIN","REG",16,10,290,224,514,10,8,1,1,3,1,6,6,8,40.5,0.1,0.3,0.6,0.125,0.125,0.75,2024
"2024_01_NYJ_SF","NYJ","SF","REG",19,32,266,401,667,11,10,4,2,0,6,7,2,3.5,43,0.363636363636364,0,0.636363636363636,0.2,0.6,0.2,2024
